modulo,politica,n_familias,n_atividades,n_concluidas,n_atrasadas,n_pactuadas,mediana_dias_atualizacao
Trabalho,Qualificação profissional,1850,4280,1460,720,1310,24
Trabalho,Intermediação de mão de obra,1420,3110,1182,466,1028,19
Trabalho,Apoio ao empreendedorismo,840,1760,598,354,566,28
Educação,Educação de jovens e adultos,760,1530,642,245,548,21
Educação,Acesso à educação infantil,540,1120,398,202,371,27
Saúde,Estratégia Saúde da Família,960,1980,836,286,744,14
Saúde,Saúde mental,620,1370,512,251,438,23
Assistência Social,Atualização do CadÚnico,1120,2320,1246,206,918,11
Assistência Social,Documentação civil,510,980,529,106,418,16
Habitação,Regularização habitacional,390,820,238,262,244,35
