modulo,politica,n_inclusoes,n_ref_concluida,n_acesso_efetivado,n_com_atraso
Trabalho,Qualificação profissional,2860,1587,1030,744
Trabalho,Intermediação de mão de obra,2380,1190,785,690
Trabalho,Apoio ao empreendedorismo,1510,649,438,514
Educação,Educação de jovens e adultos,1280,704,474,320
Educação,Acesso à educação infantil,940,423,310,282
Saúde,Estratégia Saúde da Família,1740,1131,887,296
Saúde,Saúde mental,1120,594,426,314
Assistência Social,Atualização do CadÚnico,1930,1428,1216,212
Assistência Social,Documentação civil,870,574,487,139
Habitação,Regularização habitacional,690,269,179,248
